iter	RMSE
0	76024.47745
1	73561.77463
2	71359.32403
3	69079.09625
4	66867.45836
5	64677.41471
6	62825.733
7	61114.0985
8	59566.57219
9	57950.87086
10	56284.86918
11	54723.9218
12	53282.18376
13	51998.8414
14	50680.50144
15	49362.11838
16	48308.71321
17	47149.52938
18	46045.26921
19	45041.59421
20	44017.14685
21	43006.41805
22	42158.24102
23	41364.76704
24	40556.34784
25	39801.09657
26	39070.59755
27	38433.92557
28	37750.64014
29	37185.15357
30	36472.39996
31	35811.3271
32	35222.8105
33	34626.68847
34	34038.87912
35	33582.598
36	33110.86001
37	32624.37894
38	32183.91001
39	31772.50986
40	31308.88781
41	30983.86847
42	30596.34478
43	30259.60939
44	29900.67228
45	29625.43146
46	29358.70616
47	29040.80854
48	28645.5904
49	28385.32911
50	28087.11691
51	27839.9592
52	27534.10287
53	27263.69718
54	26977.58115
55	26715.57418
56	26416.86377
57	26186.4896
58	25932.428
59	25730.40979
60	25451.31861
61	25185.37256
62	25013.53958
63	24807.31109
64	24652.19839
65	24458.84948
66	24301.2511
67	24126.30789
68	24029.63132
69	23855.82482
70	23682.94527
71	23543.98359
72	23404.4241
73	23272.72041
74	23140.18504
75	23011.42261
76	22905.15261
77	22795.63481
78	22677.56356
79	22590.25097
80	22433.13316
81	22337.85085
82	22266.19176
83	22130.16365
84	22049.72116
85	21947.14553
86	21856.85593
87	21789.82576
88	21637.445
89	21509.30237
90	21400.85456
91	21291.38214
92	21203.58296
93	21121.68499
94	21026.94837
95	20915.6324
96	20856.54439
97	20776.80484
98	20691.88335
99	20644.9368
100	20575.38146
101	20477.46575
102	20395.00523
103	20320.86265
104	20281.7648
105	20202.12883
106	20111.90297
107	20042.16379
108	19995.87044
109	19899.84652
110	19867.62949
111	19835.80016
112	19782.61492
113	19676.5358
114	19605.05423
115	19542.80635
116	19488.96938
117	19454.51712
118	19396.05712
119	19362.99761
120	19306.04414
121	19237.86173
122	19181.40241
123	19153.34652
124	19076.79139
125	19014.30178
126	18954.86463
127	18905.60492
128	18894.75077
129	18854.6597
130	18835.1793
131	18759.32336
132	18746.66121
133	18705.75518
134	18647.65673
135	18596.17134
136	18586.49182
137	18553.76449
138	18501.01645
139	18434.91511
140	18430.11942
141	18390.34071
142	18368.4175
143	18311.87105
144	18260.78045
145	18248.30252
146	18205.72919
147	18201.76422
148	18145.49359
149	18122.96473
150	18113.07448
151	18093.3857
152	18070.83609
153	17997.64336
154	17957.7127
155	17886.40027
156	17837.44472
157	17808.24018
158	17745.9271
159	17692.28996
160	17652.60482
161	17622.97398
162	17600.39056
163	17565.02628
164	17519.76287
165	17470.16594
166	17417.08397
167	17380.4089
168	17317.35678
169	17288.01532
170	17268.16261
171	17238.11383
172	17218.32095
173	17197.03083
174	17153.30728
175	17128.09303
176	17085.68504
177	17058.82865
178	17036.48243
179	17017.71977
180	16993.52826
181	16940.47973
182	16908.59521
183	16896.88801
184	16852.1866
185	16787.90178
186	16757.04678
187	16743.39998
188	16735.96426
189	16717.68126
190	16689.57344
191	16668.23924
192	16640.70834
193	16619.96429
194	16588.54917
195	16571.53431
196	16543.64818
197	16514.24023
198	16505.73531
199	16493.80375
200	16461.02101
