iter	Passed	Remaining
0	96	96449
1	128	64162
2	186	61823
3	294	73412
4	313	62417
5	338	56044
6	356	50629
7	374	46470
8	394	43395
9	433	42932
10	463	41714
11	491	40483
12	515	39142
13	530	37394
14	549	36113
15	568	34970
16	586	33893
17	605	33037
18	624	32234
19	644	31594
20	664	30964
21	681	30315
22	701	29797
23	720	29318
24	739	28853
25	757	28364
26	775	27949
27	795	27616
28	814	27271
29	832	26904
30	865	27045
31	888	26887
32	907	26607
33	929	26396
34	953	26285
35	990	26526
36	1083	28188
37	1125	28499
38	1208	29788
39	1276	30628
40	1313	30721
41	1355	30925
42	1389	30929
43	1426	30995
44	1460	31000
45	1495	31013
46	1528	30984
47	1579	31321
48	1720	33398
49	1767	33579
50	1797	33440
51	1835	33467
52	1861	33261
53	1904	33358
54	1934	33244
55	1962	33085
56	1985	32852
57	2008	32617
58	2034	32454
59	2066	32379
60	2104	32394
61	2138	32354
62	2182	32461
63	2210	32330
64	2235	32161
65	2260	31985
66	2287	31850
67	2310	31671
68	2322	31342
69	2341	31109
70	2363	30919
71	2382	30712
72	2404	30528
73	2423	30327
74	2445	30161
75	2488	30252
76	2516	30167
77	2539	30017
78	2562	29876
79	2584	29727
80	2607	29587
81	2639	29547
82	2667	29467
83	2696	29399
84	2727	29358
85	2751	29241
86	2774	29111
87	2790	28917
88	2810	28772
89	2829	28606
90	2848	28452
91	2868	28307
92	2889	28177
93	2909	28046
94	2929	27907
95	2950	27783
96	2973	27679
97	2992	27543
98	3012	27416
99	3031	27280
100	3055	27194
101	3075	27073
102	3093	26944
103	3113	26827
104	3134	26720
105	3155	26615
106	3175	26501
107	3195	26396
108	3218	26308
109	3236	26188
110	3253	26056
111	3272	25946
112	3290	25832
113	3311	25738
114	3329	25624
115	3349	25527
116	3369	25425
117	3388	25326
118	3410	25248
119	3428	25141
120	3461	25142
121	3499	25186
122	3517	25081
123	3539	25004
124	3560	24924
125	3581	24839
126	3600	24747
127	3618	24654
128	3627	24495
129	3647	24407
130	3656	24252
131	3673	24153
132	3688	24045
133	3706	23956
134	3728	23887
135	3749	23822
136	3759	23679
137	3777	23593
138	3797	23520
139	3815	23436
140	3821	23281
141	3839	23201
142	3861	23143
143	3882	23081
144	3903	23014
145	3924	22954
146	3944	22886
147	3956	22776
148	3974	22697
149	3993	22631
150	4015	22575
151	4043	22557
152	4061	22486
153	4081	22424
154	4101	22359
155	4119	22289
156	4138	22219
157	4158	22159
158	4176	22092
159	4195	22023
160	4215	21965
161	4236	21913
162	4257	21862
163	4277	21805
164	4298	21755
165	4317	21690
166	4336	21628
167	4358	21587
168	4377	21526
169	4398	21476
170	4424	21447
171	4446	21405
172	4492	21473
173	4515	21434
174	4534	21376
175	4553	21318
176	4572	21258
177	4590	21199
178	4609	21140
179	4627	21081
180	4649	21037
181	4670	20991
182	4689	20936
183	4705	20866
184	4726	20822
185	4745	20769
186	4764	20713
187	4782	20657
188	4803	20612
189	4824	20568
190	4843	20515
191	4862	20461
192	4879	20402
193	4901	20364
194	4921	20316
195	4940	20265
196	4970	20259
197	4992	20223
198	5014	20182
199	5037	20151
200	5063	20129
201	5085	20090
202	5106	20049
